epoch,step,train_loss_epoch,train_loss_step
0,49,,0.07561144232749939
0,99,,0.0639864131808281
0,149,,0.04836253449320793
0,199,,0.06491643935441971
0,249,,0.05756247043609619
0,299,,0.05133655667304993
0,349,,0.05092630907893181
0,399,,0.04548385739326477
0,423,0.061321012675762177,
1,449,,0.04307302460074425
1,499,,0.054621729999780655
1,549,,0.0472356416285038
1,599,,0.04036865010857582
1,649,,0.05828365683555603
1,699,,0.04227783903479576
1,749,,0.039528269320726395
1,799,,0.040777578949928284
1,847,0.04598366096615791,
2,849,,0.03590749204158783
2,899,,0.05015774443745613
2,949,,0.043921809643507004
2,999,,0.04302695021033287
2,1049,,0.037901461124420166
2,1099,,0.040343184024095535
2,1149,,0.0416124127805233
2,1199,,0.045392584055662155
2,1249,,0.04651077464222908
2,1271,0.04244988039135933,
3,1299,,0.04839204624295235
3,1349,,0.03130163624882698
3,1399,,0.039970818907022476
3,1449,,0.04191879555583
3,1499,,0.03800292685627937
3,1549,,0.0431620217859745
3,1599,,0.03788807615637779
3,1649,,0.04260288551449776
3,1695,0.040890395641326904,
4,1699,,0.04707731679081917
4,1749,,0.036289989948272705
4,1799,,0.036896537989377975
4,1849,,0.03339306637644768
4,1899,,0.055274978280067444
4,1949,,0.04199879989027977
4,1999,,0.035703178495168686
4,2049,,0.037524834275245667
4,2099,,0.03172222152352333
4,2119,0.03878704831004143,
5,2149,,0.03997640311717987
5,2199,,0.04419491067528725
5,2249,,0.03967585042119026
5,2299,,0.03518607094883919
5,2349,,0.037956662476062775
5,2399,,0.03845621272921562
5,2449,,0.04264779016375542
5,2499,,0.036492720246315
5,2543,0.037529561668634415,
6,2549,,0.036815300583839417
6,2599,,0.036463867872953415
6,2649,,0.03915265575051308
6,2699,,0.032576773315668106
6,2749,,0.035643961280584335
6,2799,,0.042695313692092896
6,2849,,0.042986009269952774
6,2899,,0.03986816853284836
6,2949,,0.03428781405091286
6,2967,0.03664543107151985,
7,2999,,0.034734535962343216
7,3049,,0.04238307848572731
7,3099,,0.03345972299575806
7,3149,,0.037283290177583694
7,3199,,0.03301878646016121
7,3249,,0.04006004333496094
7,3299,,0.03045245073735714
7,3349,,0.035810213536024094
7,3391,0.03556452691555023,
8,3399,,0.03384007140994072
8,3449,,0.036576468497514725
8,3499,,0.03419993445277214
8,3549,,0.0349494032561779
8,3599,,0.036544352769851685
8,3649,,0.039301879703998566
8,3699,,0.03273022174835205
8,3749,,0.033769406378269196
8,3799,,0.03494133800268173
8,3815,0.03495314344763756,
9,3849,,0.03984773904085159
9,3899,,0.03677378222346306
9,3949,,0.03969089686870575
9,3999,,0.03337904065847397
9,4049,,0.03880825266242027
9,4099,,0.033773865550756454
9,4149,,0.033503878861665726
9,4199,,0.035677287727594376
9,4239,0.03447289019823074,
10,4249,,0.03354515880346298
10,4299,,0.036034345626831055
10,4349,,0.033402856439352036
10,4399,,0.0299843717366457
10,4449,,0.030950799584388733
10,4499,,0.0381852388381958
10,4549,,0.03627532348036766
10,4599,,0.02753669209778309
10,4649,,0.031236937269568443
10,4663,0.03373600170016289,
11,4699,,0.032918915152549744
11,4749,,0.04361564293503761
11,4799,,0.03559010848402977
11,4849,,0.03002925217151642
11,4899,,0.035391855984926224
11,4949,,0.033315908163785934
11,4999,,0.03277455270290375
11,5049,,0.03504000976681709
11,5087,0.033095620572566986,
12,5099,,0.030827393755316734
12,5149,,0.028448963537812233
12,5199,,0.029167553409934044
12,5249,,0.029554424807429314
12,5299,,0.031547993421554565
12,5349,,0.040328025817871094
12,5399,,0.03235897421836853
12,5449,,0.03284647688269615
12,5499,,0.031074345111846924
12,5511,0.03229265660047531,
13,5549,,0.033259253948926926
13,5599,,0.034234341233968735
13,5649,,0.03434457629919052
13,5699,,0.027627134695649147
13,5749,,0.030911119654774666
13,5799,,0.03395680710673332
13,5849,,0.03600022569298744
13,5899,,0.031926728785037994
13,5935,0.03206140547990799,
14,5949,,0.03582010045647621
14,5999,,0.035752516239881516
14,6049,,0.0310503002256155
14,6099,,0.02853824384510517
14,6149,,0.032124970108270645
14,6199,,0.034361809492111206
14,6249,,0.03393727168440819
14,6299,,0.030670905485749245
14,6349,,0.03129209205508232
14,6359,0.031212689355015755,
15,6399,,0.03332537040114403
15,6449,,0.028459809720516205
15,6499,,0.03888671472668648
15,6549,,0.03437050059437752
15,6599,,0.03271831199526787
15,6649,,0.02726808190345764
15,6699,,0.02941853739321232
15,6749,,0.029711805284023285
15,6783,0.030759450048208237,
16,6799,,0.03186597302556038
16,6849,,0.03138885274529457
16,6899,,0.033738527446985245
16,6949,,0.031931232661008835
16,6999,,0.033968426287174225
16,7049,,0.028331702575087547
16,7099,,0.028460681438446045
16,7149,,0.03351777046918869
16,7199,,0.03070119209587574
16,7207,0.030450420454144478,
17,7249,,0.028449522331357002
17,7299,,0.03145676478743553
17,7349,,0.030738264322280884
17,7399,,0.03363494947552681
17,7449,,0.031394731253385544
17,7499,,0.026280954480171204
17,7549,,0.029975036159157753
17,7599,,0.02815643511712551
17,7631,0.029951762408018112,
18,7649,,0.02811524271965027
