epoch,step,train_loss_epoch,train_loss_step,val_loss
0,49,,0.03972022607922554,
0,99,,0.046479325741529465,
0,149,,0.053031135350465775,
0,199,,0.04383036121726036,
0,249,,0.0477868914604187,
0,299,,0.04451056942343712,
0,349,,0.04397283121943474,
0,399,,0.033845216035842896,
0,423,,,0.04380461946129799
0,423,0.04648493602871895,,
1,449,,0.04537687823176384,
1,499,,0.042207732796669006,
1,549,,0.0405864417552948,
1,599,,0.03627566248178482,
1,649,,0.049929965287446976,
1,699,,0.042770713567733765,
1,749,,0.042575303465127945,
1,799,,0.03950456157326698,
1,847,,,0.043775081634521484
1,847,0.04155706986784935,,
2,849,,0.03868475556373596,
2,899,,0.03952839598059654,
2,949,,0.04537683725357056,
2,999,,0.03885515779256821,
2,1049,,0.03978145495057106,
2,1099,,0.030265873298048973,
2,1149,,0.03970993682742119,
2,1199,,0.04309849813580513,
2,1249,,0.040051862597465515,
2,1271,,,0.04160657897591591
2,1271,0.03921247273683548,,
3,1299,,0.032863106578588486,
3,1349,,0.037493325769901276,
3,1399,,0.03954051807522774,
3,1449,,0.03363903984427452,
3,1499,,0.039595600217580795,
3,1549,,0.033396828919649124,
3,1599,,0.04015671834349632,
3,1649,,0.037013743072748184,
3,1695,,,0.03941381350159645
3,1695,0.037651605904102325,,
4,1699,,0.03187558427453041,
4,1749,,0.03718648478388786,
4,1799,,0.04333343729376793,
4,1849,,0.03502407297492027,
4,1899,,0.040804218500852585,
4,1949,,0.03749494627118111,
4,1999,,0.03677143529057503,
4,2049,,0.03590415045619011,
4,2099,,0.03997034206986427,
4,2119,,,0.04154159873723984
4,2119,0.03674821928143501,,
5,2149,,0.045154690742492676,
5,2199,,0.041510723531246185,
5,2249,,0.031454313546419144,
5,2299,,0.03301285579800606,
5,2349,,0.02931317500770092,
5,2399,,0.03258967399597168,
5,2449,,0.030679693445563316,
5,2499,,0.03023679554462433,
5,2543,,,0.04277832433581352
5,2543,0.035823628306388855,,
6,2549,,0.028284290805459023,
6,2599,,0.04126447066664696,
6,2649,,0.038304347544908524,
6,2699,,0.042500436305999756,
6,2749,,0.0351695790886879,
6,2799,,0.039419010281562805,
6,2849,,0.034092966467142105,
6,2899,,0.03082377463579178,
6,2949,,0.027705619111657143,
6,2967,,,0.042139966040849686
6,2967,0.03482417017221451,,
7,2999,,0.039578307420015335,
7,3049,,0.03321428969502449,
7,3099,,0.03024008311331272,
7,3149,,0.035869136452674866,
7,3199,,0.0372307151556015,
7,3249,,0.03076472133398056,
7,3299,,0.03223041817545891,
7,3349,,0.031255681067705154,
7,3391,,,0.03949494659900665
7,3391,0.03418411314487457,,
8,3399,,0.03938482329249382,
8,3449,,0.03125729411840439,
8,3499,,0.029303984716534615,
8,3549,,0.03937426581978798,
8,3599,,0.038837071508169174,
8,3649,,0.037322625517845154,
8,3699,,0.031073985621333122,
8,3749,,0.032525356858968735,
8,3799,,0.03434791415929794,
8,3815,,,0.03860224038362503
8,3815,0.033552709966897964,,
9,3849,,0.03666771203279495,
9,3899,,0.03087528608739376,
9,3949,,0.025852026417851448,
9,3999,,0.03672270104289055,
9,4049,,0.03162252530455589,
9,4099,,0.039988476783037186,
9,4149,,0.03408397361636162,
9,4199,,0.029326194897294044,
9,4239,,,0.04102030768990517
9,4239,0.033014412969350815,,
10,4249,,0.03445052355527878,
10,4299,,0.029845500364899635,
10,4349,,0.03675640746951103,
10,4399,,0.03653906285762787,
10,4449,,0.030695393681526184,
10,4499,,0.031897906213998795,
10,4549,,0.044952694326639175,
10,4599,,0.039120495319366455,
10,4649,,0.031517162919044495,
10,4663,,,0.03766448050737381
10,4663,0.03301713988184929,,
11,4699,,0.03161284700036049,
11,4749,,0.026229893788695335,
11,4799,,0.035827312618494034,
11,4849,,0.027648264542222023,
11,4899,,0.037770096212625504,
11,4949,,0.03347250074148178,
11,4999,,0.032926496118307114,
11,5049,,0.030593281611800194,
11,5087,,,0.03987018018960953
11,5087,0.03227520361542702,,
12,5099,,0.035398390144109726,
12,5149,,0.04096951708197594,
12,5199,,0.032036006450653076,
12,5249,,0.034977737814188004,
12,5299,,0.03013157844543457,
12,5349,,0.033567626029253006,
12,5399,,0.03238755092024803,
12,5449,,0.035320501774549484,
12,5499,,0.031770553439855576,
12,5511,,,0.042172353714704514
12,5511,0.032181259244680405,,
13,5549,,0.029575606808066368,
13,5599,,0.02949497662484646,
13,5649,,0.03762940689921379,
13,5699,,0.03283758461475372,
13,5749,,0.030146272853016853,
13,5799,,0.03162997588515282,
13,5849,,0.02779766172170639,
13,5899,,0.029190607368946075,
13,5935,,,0.04067961499094963
13,5935,0.0320117324590683,,
14,5949,,0.02934975177049637,
14,5999,,0.03237894922494888,
14,6049,,0.03243277966976166,
14,6099,,0.027967318892478943,
14,6149,,0.03496550768613815,
14,6199,,0.03083115816116333,
14,6249,,0.030568769201636314,
14,6299,,0.03340403735637665,
14,6349,,0.03061111830174923,
14,6359,,,0.042389821261167526
14,6359,0.03172212094068527,,
15,6399,,0.028028657659888268,
15,6449,,0.02807966060936451,
15,6499,,0.04130319878458977,
15,6549,,0.03308834135532379,
15,6599,,0.03023567982017994,
15,6649,,0.03180539235472679,
15,6699,,0.032819535583257675,
15,6749,,0.026587367057800293,
15,6783,,,0.040186431258916855
15,6783,0.03159056231379509,,
16,6799,,0.031479012221097946,
16,6849,,0.0309287216514349,
16,6899,,0.033497896045446396,
16,6949,,0.03189244121313095,
16,6999,,0.03705914691090584,
16,7049,,0.028601668775081635,
16,7099,,0.03141791746020317,
16,7149,,0.02545827440917492,
16,7199,,0.028067832812666893,
16,7207,,,0.04143887013196945
16,7207,0.03121739812195301,,
17,7249,,0.03672722354531288,
17,7299,,0.03181614354252815,
17,7349,,0.03229643777012825,
17,7399,,0.03341805562376976,
17,7449,,0.03250811621546745,
17,7499,,0.026899179443717003,
17,7549,,0.028637060895562172,
17,7599,,0.03339410945773125,
17,7631,,,0.04214073717594147
17,7631,0.030950097367167473,,
18,7649,,0.03386479988694191,
18,7699,,0.029021305963397026,
18,7749,,0.02684069238603115,
18,7799,,0.027504397556185722,
18,7849,,0.032584723085165024,
18,7899,,0.03045310080051422,
18,7949,,0.03528505563735962,
18,7999,,0.03538612648844719,
18,8049,,0.02611057460308075,
18,8055,,,0.040599264204502106
18,8055,0.03055184707045555,,
19,8099,,0.026311369612812996,
19,8149,,0.027977483347058296,
19,8199,,0.04127718508243561,
19,8249,,0.03083336353302002,
19,8299,,0.031277135014534,
19,8349,,0.035674288868904114,
19,8399,,0.03128040209412575,
19,8449,,0.028795121237635612,
19,8479,,,0.04020007699728012
19,8479,0.030268698930740356,,
20,8499,,0.02808491326868534,
20,8549,,0.027565360069274902,
20,8599,,0.03102782927453518,
20,8649,,0.023859573528170586,
20,8699,,0.029957963153719902,
20,8749,,0.02411213330924511,
20,8799,,0.028022771701216698,
20,8849,,0.02945365011692047,
20,8899,,0.029073767364025116,
20,8903,,,0.04064410179853439
20,8903,0.030210226774215698,,
21,8949,,0.030814647674560547,
21,8999,,0.02528083510696888,
21,9049,,0.034974705427885056,
21,9099,,0.03266751766204834,
21,9149,,0.026934877038002014,
21,9199,,0.02731405757367611,
21,9249,,0.026980042457580566,
21,9299,,0.026639534160494804,
21,9327,,,0.04175392910838127
21,9327,0.03004870004951954,,
22,9349,,0.02418491803109646,
22,9399,,0.02609538473188877,
22,9449,,0.02655564248561859,
22,9499,,0.02762412279844284,
22,9549,,0.028639735653996468,
22,9599,,0.02841508947312832,
22,9649,,0.029118860140442848,
22,9699,,0.03323786333203316,
22,9749,,0.029013892635703087,
22,9751,,,0.04044878110289574
22,9751,0.029599269852042198,,
23,9799,,0.03066687099635601,
23,9849,,0.02754698507487774,
23,9899,,0.03313843905925751,
23,9949,,0.027298659086227417,
23,9999,,0.028729138895869255,
23,10049,,0.031254276633262634,
23,10099,,0.02925907075405121,
23,10149,,0.02499259263277054,
23,10175,,,0.040698401629924774
23,10175,0.029569393023848534,,
24,10199,,0.030301308259367943,
24,10249,,0.028085073456168175,
24,10299,,0.035571884363889694,
24,10349,,0.026397129520773888,
24,10399,,0.03385979309678078,
24,10449,,0.029014723375439644,
24,10499,,0.03940780833363533,
24,10549,,0.027404354885220528,
24,10599,,0.027036409825086594,
24,10599,,,0.041721902787685394
24,10599,0.02947986125946045,,
25,10649,,0.031510379165410995,
25,10699,,0.022416017949581146,
25,10749,,0.021912502124905586,
25,10799,,0.026424644514918327,
25,10849,,0.030428992584347725,
25,10899,,0.027615465223789215,
25,10949,,0.023931821808218956,
25,10999,,0.030188478529453278,
25,11023,,,0.04130522161722183
25,11023,0.029105154797434807,,
26,11049,,0.025508172810077667,
26,11099,,0.029494881629943848,
26,11149,,0.024941885843873024,
26,11199,,0.02673586644232273,
26,11249,,0.024808621034026146,
26,11299,,0.039269134402275085,
26,11349,,0.028553174808621407,
26,11399,,0.02352604828774929,
26,11447,,,0.04055585339665413
26,11447,0.029548626393079758,,
27,11449,,0.030146988108754158,
27,11499,,0.03324756398797035,
27,11549,,0.03032231517136097,
27,11599,,0.033721923828125,
27,11649,,0.03007943369448185,
27,11699,,0.029863661155104637,
27,11749,,0.02592046558856964,
27,11799,,0.03186482936143875,
27,11849,,0.030840063467621803,
27,11871,,,0.042907264083623886
27,11871,0.02913331426680088,,
28,11899,,0.024020878598093987,
28,11949,,0.025318006053566933,
28,11999,,0.02766270935535431,
28,12049,,0.02649809420108795,
28,12099,,0.02413245476782322,
28,12149,,0.028795180842280388,
28,12199,,0.030372753739356995,
28,12249,,0.027327636256814003,
28,12295,,,0.04232609644532204
28,12295,0.029018370434641838,,
29,12299,,0.0341435931622982,
29,12349,,0.03522832319140434,
29,12399,,0.028381116688251495,
29,12449,,0.030516663566231728,
29,12499,,0.02722933329641819,
29,12549,,0.03012542426586151,
29,12599,,0.02786271460354328,
29,12649,,0.028286151587963104,
29,12699,,0.02717655897140503,
29,12719,,,0.0418555811047554
29,12719,0.029036346822977066,,
30,12749,,0.03427983820438385,
30,12799,,0.0314127616584301,
30,12849,,0.03318832814693451,
30,12899,,0.02918619103729725,
30,12949,,0.024847732856869698,
30,12999,,0.027244796976447105,
30,13049,,0.02963791973888874,
30,13099,,0.0289508905261755,
30,13143,,,0.04241982102394104
30,13143,0.028724273666739464,,
31,13149,,0.02954336442053318,
31,13199,,0.031093977391719818,
31,13249,,0.028880653902888298,
31,13299,,0.026469536125659943,
31,13349,,0.03804599866271019,
31,13399,,0.030471740290522575,
31,13449,,0.03188328072428703,
31,13499,,0.02888128161430359,
31,13549,,0.03535688668489456,
31,13567,,,0.043238554149866104
31,13567,0.029056139290332794,,
32,13599,,0.02573317103087902,
32,13649,,0.03084411285817623,
32,13699,,0.031643785536289215,
32,13749,,0.031861260533332825,
32,13799,,0.033001601696014404,
32,13849,,0.030485382303595543,
32,13899,,0.024558255448937416,
32,13949,,0.023369431495666504,
32,13991,,,0.041924718767404556
32,13991,0.028915872797369957,,
33,13999,,0.029187610372900963,
33,14049,,0.03117801994085312,
33,14099,,0.024606361985206604,
33,14149,,0.028760967776179314,
33,14199,,0.027040138840675354,
33,14249,,0.028788330033421516,
33,14299,,0.03424375131726265,
33,14349,,0.023132657632231712,
33,14399,,0.027999332174658775,
33,14415,,,0.04219241440296173
33,14415,0.028620634227991104,,
34,14449,,0.02451138012111187,
34,14499,,0.022951245307922363,
34,14549,,0.02655528485774994,
34,14599,,0.03614543750882149,
34,14649,,0.029271429404616356,
34,14699,,0.027201225981116295,
34,14749,,0.031150219962000847,
34,14799,,0.03092036582529545,
34,14839,,,0.041855379939079285
34,14839,0.02849259413778782,,
35,14849,,0.028606487438082695,
35,14899,,0.026717782020568848,
35,14949,,0.031067749485373497,
35,14999,,0.023729398846626282,
35,15049,,0.022862793877720833,
35,15099,,0.02870069444179535,
35,15149,,0.028678715229034424,
35,15199,,0.03186872601509094,
35,15249,,0.022580822929739952,
35,15263,,,0.041155532002449036
35,15263,0.028653660789132118,,
36,15299,,0.025761181488633156,
36,15349,,0.02793622948229313,
36,15399,,0.03236265480518341,
36,15449,,0.02922930382192135,
36,15499,,0.026703378185629845,
