epoch,step,train_loss_epoch,train_loss_step,val_loss
0,49,,0.028995877131819725,
0,99,,0.031558845192193985,
0,149,,0.028320463374257088,
0,199,,0.03594530373811722,
0,249,,0.030009925365447998,
0,299,,0.03147147595882416,
0,349,,0.02603633515536785,
0,399,,0.030909277498722076,
0,423,,,0.05773696303367615
0,423,0.030031556263566017,,
1,449,,0.027356015518307686,
1,499,,0.027586543932557106,
1,549,,0.03266708552837372,
1,599,,0.030493466183543205,
1,649,,0.03283100202679634,
1,699,,0.029132956638932228,
1,749,,0.022232184186577797,
1,799,,0.0268959179520607,
1,847,,,0.056833717972040176
1,847,0.029625117778778076,,
2,849,,0.025938494130969048,
2,899,,0.030733296647667885,
2,949,,0.03507828339934349,
2,999,,0.036260318011045456,
2,1049,,0.025870800018310547,
2,1099,,0.03461384028196335,
2,1149,,0.028904112055897713,
2,1199,,0.02858356572687626,
2,1249,,0.027889542281627655,
2,1271,,,0.06237797439098358
2,1271,0.029478685930371284,,
3,1299,,0.02607063390314579,
3,1349,,0.03309018909931183,
3,1399,,0.03159951791167259,
3,1449,,0.026019668206572533,
3,1499,,0.03484049811959267,
3,1549,,0.027918890118598938,
3,1599,,0.02955053746700287,
3,1649,,0.039154913276433945,
3,1695,,,0.05786067992448807
3,1695,0.029285231605172157,,
4,1699,,0.02458195947110653,
4,1749,,0.03219477832317352,
4,1799,,0.03365577384829521,
4,1849,,0.02434810996055603,
4,1899,,0.03287693113088608,
4,1949,,0.025906072929501534,
4,1999,,0.025665758177638054,
4,2049,,0.02825872041285038,
4,2099,,0.03519954904913902,
4,2119,,,0.060712721198797226
4,2119,0.028896203264594078,,
5,2149,,0.029928438365459442,
5,2199,,0.023684868589043617,
5,2249,,0.031518980860710144,
5,2299,,0.03559943661093712,
5,2349,,0.030767731368541718,
5,2399,,0.03119606338441372,
5,2449,,0.03214685991406441,
5,2499,,0.033881206065416336,
5,2543,,,0.05631984397768974
5,2543,0.02864622324705124,,
6,2549,,0.027182316407561302,
6,2599,,0.028330838307738304,
6,2649,,0.023471862077713013,
6,2699,,0.02549161948263645,
6,2749,,0.027552977204322815,
6,2799,,0.033666085451841354,
6,2849,,0.023496761918067932,
6,2899,,0.025580083951354027,
6,2949,,0.02922207862138748,
6,2967,,,0.05869009345769882
6,2967,0.02838856913149357,,
7,2999,,0.027635201811790466,
7,3049,,0.02581603080034256,
7,3099,,0.030737822875380516,
7,3149,,0.029817210510373116,
7,3199,,0.02435489185154438,
7,3249,,0.030879640951752663,
7,3299,,0.03189856559038162,
7,3349,,0.02521340362727642,
7,3391,,,0.06114877387881279
7,3391,0.028026152402162552,,
8,3399,,0.023143082857131958,
8,3449,,0.03829023241996765,
8,3499,,0.026804273948073387,
8,3549,,0.02320803888142109,
8,3599,,0.028229719027876854,
8,3649,,0.02309914119541645,
8,3699,,0.022788753733038902,
8,3749,,0.029147526249289513,
8,3799,,0.03324641287326813,
8,3815,,,0.05600699782371521
8,3815,0.027975743636488914,,
9,3849,,0.031008074060082436,
9,3899,,0.026515759527683258,
